our_rank,name,position,team,gsis_id,adp,adp_rank,ecr_rank,mkt_val,mkt_rank,log_rank,vs_adp,vs_adp_log,vs_adp_pct,vs_adp_clip,score_log_pts,pred_vorp,pos_rank,delta,anchor_rank,scarcity_gain,feature_gain,age_c,age_c2,age_rb,age_qb,games_missed,rookie_pedigree,td_share_c,team_change,has_prior,draft_ovr_log,vacated_target_share,vacated_carry_share,arriving_vet_usage,draft_competition,qb_change,qb_quality_delta,qb_rookie,qb_expected_missing,coach_change,team_fp_prior,team_fp_prior_z,team_pass_fp_share_prior,team_pass_rate_prior,returning_target_competition,returning_carry_competition,depth_rank_adp,is_rookie,qb_delta_wrte,vacated_tgt_wrte,vacated_carry_rb,opp_target_share,opp_air_yards_share,opp_ts_slope,opp_ts_l4f4,opp_cs_l6_delta,opp_fp_oe_pg,opp_td_per_opp_vs_pos,opp_boom_rate,ppg_delta,career_missed_rate,inj_weeks_listed_l2y,inj_soft_tissue_l2y,inj_recurrence,apy_cap_pct,contract_year,rookie_deal_yr,draft_r1,draft_r23,rb_early_rookie,yrs_since_peak,last_was_career_best,c_age_c,c_age_c2,c_age_rb,c_age_qb,c_games_missed,c_rookie_pedigree,c_td_share_c,c_team_change,c_has_prior,c_draft_ovr_log,c_vs_adp,c_vacated_target_share,c_vacated_carry_share,c_arriving_vet_usage,c_draft_competition,c_qb_change,c_qb_quality_delta,c_qb_rookie,c_qb_expected_missing,c_coach_change,c_team_fp_prior,c_team_fp_prior_z,c_team_pass_fp_share_prior,c_team_pass_rate_prior,c_returning_target_competition,c_returning_carry_competition,c_depth_rank_adp,c_is_rookie,c_qb_delta_wrte,c_vacated_tgt_wrte,c_vacated_carry_rb,c_opp_target_share,c_opp_air_yards_share,c_opp_ts_slope,c_opp_ts_l4f4,c_opp_cs_l6_delta,c_opp_fp_oe_pg,c_opp_td_per_opp_vs_pos,c_opp_boom_rate,c_ppg_delta,c_career_missed_rate,c_inj_weeks_listed_l2y,c_inj_soft_tissue_l2y,c_inj_recurrence,c_apy_cap_pct,c_contract_year,c_rookie_deal_yr,c_draft_r1,c_draft_r23,c_rb_early_rookie,c_yrs_since_peak,c_last_was_career_best,c_ppg_mismatch,raw_ppg_mismatch,_dummy,adp_gap_ahead,adp_gap_behind,age,birthdate,career_best_ppg,coach_pass_oe,coach_pass_shift,draft_ovr,draft_round,draft_year,expqb_rush_wrte,inj_recurrence_qb,inj_weeks_listed_l2y_qb,is_rk_draft,log_pts,ol_sack_rate_prior,ol_stuff_rate_prior,prev_games,prev_ppg,prev_td_share,prev_team,prop_mvp,prop_oroy,prop_pass_yds,prop_rec_yds,prop_rush_yds,qb_rush_ypg,rookie,rookie_log_pick,rookie_x_vacated,rz_ez_target_share,rz_gl_carry_share,rz_opp_pg,rz_target_share,rz_td_minus_expected,season,snap_share,snap_share_l4f4,snap_share_max4,sos_dvp,sos_dvp_first4,tgt_pts,vegas_wins_c,vegas_wins_delta,vs_adp_off,yrs_exp
1,Justin Jefferson,WR,MIN,00-0036322,10.400000,10,9,2.197225,9,2.197225,-0.051293,-0.105361,-0.005405,-0.105361,5.550625,128.648958,1,9,5,5,4,1.211499,1.467730,0.000000,0.000000,0.000000,0.000000,-0.088913,0.000000,1.000000,3.091042,0.140312,0.046914,0.229920,0.000000,1.000000,3.018000,0.000000,0.000000,0.000000,1131.140000,-1.436641,0.629365,0.525761,0.182628,0.004938,1.000000,0.000000,3.018000,0.140312,0.000000,0.306696,0.403464,0.000941,0.053921,0.001216,-6.580000,-0.034437,0.058824,-6.822353,0.069307,0.000000,0.000000,0.000000,0.137000,0.000000,0.000000,1.000000,0.000000,0.000000,3.000000,0.000000,0.000394,0.000620,0.000164,0.000502,0.010135,-0.001404,0.005362,-0.000691,0.007180,-0.001737,-0.000405,-0.000263,0.000534,-0.005221,0.010326,0.005695,0.005618,0.000792,-0.000773,-0.001733,-0.003601,0.011254,-0.001681,0.003623,-0.000062,-0.002131,0.002358,-0.002888,-0.000483,-0.000010,0.001256,0.007223,0.001041,0.001349,-0.009549,-0.000278,-0.009297,-0.008782,0.011306,-0.000728,0.007267,0.000047,-0.000705,0.001175,0.002278,-0.000055,-0.004263,0.000412,-0.002206,-0.000454,0.005854,-0.006989,-0.004759,-2.740904,true,0.000000,4.442651,27.211499,1999-06-16,21.685882,0.031090,0.000000,22,1,2020,34.600000,0.000000,0.000000,false,0.000000,0.039269,-0.005090,17.000000,11.852941,0.059553,MIN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.421053,0.000000,1.117647,0.246753,-5.165459,2026,0.941765,-0.032500,1.000000,1.227286,1.297390,0.000000,0.000000,0.000000,-0.051293,6.000000
2,Puka Nacua,WR,LAR,00-0039075,2.800000,3,3,1.098612,3,1.098612,0.000000,0.000000,0.000000,0.000000,5.542997,121.426250,2,1,1,2,-1,-0.740589,0.548472,-0.000000,-0.000000,1.000000,0.000000,0.027534,1.000000,1.000000,5.176150,0.025818,0.019355,0.000000,0.131073,0.000000,0.000000,0.000000,0.000000,0.000000,1800.180000,2.031863,0.630326,0.555449,0.320138,0.006452,1.000000,0.000000,0.000000,0.025818,0.000000,0.301270,0.340334,-0.001902,-0.076443,-0.000247,0.648750,0.014077,0.625000,4.655682,0.137255,9.000000,0.000000,0.000000,0.005000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.001033,0.000667,0.000164,0.000502,0.005605,-0.001404,-0.001660,0.003267,0.007180,0.003963,-0.000097,-0.000494,0.000596,0.002515,-0.006770,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.004708,-0.013300,-0.001535,-0.000368,-0.000347,-0.002105,0.002358,-0.002888,0.000007,0.000178,0.001256,0.007016,0.000812,-0.003774,0.015127,-0.000432,-0.000152,0.002395,-0.042310,0.000425,0.001356,-0.000044,-0.000705,0.001175,-0.000978,-0.000055,0.012277,-0.000208,-0.002206,-0.000454,-0.004409,0.009665,0.003698,8.419688,true,0.000000,3.688879,25.259411,2001-05-29,23.437500,0.006798,0.000000,177,5,2023,0.058824,0.000000,0.000000,false,0.000000,0.000000,0.000000,16.000000,23.437500,0.176000,LA,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113208,0.000000,1.125000,0.155963,3.940593,2026,0.682500,-0.067500,0.867500,-0.376244,-0.890846,0.000000,0.000000,0.000000,0.000000,3.000000
3,Jaxon Smith-Njigba,WR,SEA,00-0038543,6.000000,6,5,1.609438,5,1.609438,-0.064539,-0.182322,-0.005405,-0.182322,5.532077,121.426250,3,3,3,3,0,-1.455168,2.117513,-0.000000,-0.000000,0.000000,0.000000,0.018247,0.000000,1.000000,2.995732,0.076628,0.445525,0.000000,0.130824,0.000000,0.000000,0.000000,0.000000,0.000000,1561.000000,0.791882,0.632415,0.503861,0.363985,0.025292,1.000000,0.000000,0.000000,0.076628,0.000000,0.367705,0.511167,-0.003239,0.007184,-0.007967,-1.006471,0.010401,0.588235,6.288235,0.000000,1.000000,0.000000,0.000000,0.140000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,-0.001555,0.000586,0.000164,0.000502,0.010135,-0.001404,-0.001100,-0.000691,0.007180,-0.001998,-0.000484,-0.000391,-0.000365,0.002515,-0.006738,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.001737,-0.004522,-0.001219,0.006567,-0.000438,-0.001787,0.002358,-0.002888,0.000007,0.000094,0.001256,0.009553,0.001431,-0.006183,-0.000702,-0.001243,-0.002246,0.001548,-0.038828,0.000589,0.013297,0.000037,-0.000705,0.001175,0.002352,-0.000055,-0.004263,0.000412,-0.002206,-0.000454,-0.004409,0.009665,0.001980,6.152776,true,0.000000,4.615121,24.544832,2002-02-14,21.170588,0.016319,0.000000,20,1,2023,5.588235,0.000000,0.000000,false,0.000000,-0.013156,0.036960,17.000000,21.170588,0.166713,SEA,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357143,0.000000,1.000000,0.261538,3.690540,2026,0.774118,0.222500,0.917500,0.388462,-0.311140,0.000000,0.000000,0.000000,-0.064539,3.000000
4,Ja'Marr Chase,WR,CIN,00-0036900,3.800000,4,1,0.000000,1,0.000000,-0.241162,-1.386294,-0.016216,-0.700000,5.506416,111.485833,4,0,2,2,-2,0.502396,0.252401,0.000000,0.000000,1.000000,0.000000,0.004595,0.000000,1.000000,1.609438,0.067434,0.023256,0.000000,0.140065,1.000000,5.525962,0.000000,0.000000,0.000000,1583.160000,0.906766,0.664746,0.611055,0.299342,0.012920,1.000000,0.000000,5.525962,0.067434,0.000000,0.320657,0.375398,-0.000106,0.037820,-0.001400,-4.725000,-0.005870,0.500000,-4.105882,0.082353,3.000000,0.000000,0.000000,0.144000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,-0.000124,0.000683,0.000164,0.000502,0.005605,-0.001404,-0.000277,-0.000691,0.007180,-0.005788,-0.001544,-0.000410,0.000588,0.002515,-0.007943,0.005695,0.010357,0.000792,-0.000773,-0.001733,0.002012,-0.005335,0.003669,-0.007842,-0.000304,-0.001996,0.002358,-0.002888,-0.000891,0.000109,0.001256,0.007756,0.000939,-0.000537,-0.006501,-0.000553,-0.006950,-0.002201,-0.030472,-0.000455,0.006132,0.000017,-0.000705,0.001175,0.002451,-0.000055,-0.004263,0.000412,-0.002206,-0.000454,-0.000988,-0.006989,0.000790,4.582188,true,0.000000,3.135494,26.502396,2000-03-01,23.705882,0.050412,0.000000,5,1,2021,5.125000,0.000000,0.000000,false,0.000000,-0.012981,-0.061867,16.000000,19.600000,0.153061,CIN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,1.375000,0.268293,0.708683,2026,0.943750,-0.010000,0.997500,0.806040,0.237096,0.000000,0.000000,0.000000,-0.241162,5.000000
5,CeeDee Lamb,WR,DAL,00-0036358,10.700000,11,7,1.945910,7,1.945910,-0.211309,-0.451985,-0.021622,-0.451985,5.501296,111.485833,5,6,10,1,5,1.400411,1.961150,0.000000,0.000000,4.000000,0.000000,-0.058869,0.000000,1.000000,2.833213,0.069193,0.043011,0.089505,0.128621,0.000000,0.000000,0.000000,0.000000,0.000000,1689.500000,1.458065,0.638355,0.566231,0.388797,0.045161,1.000000,0.000000,0.000000,0.069193,0.000000,0.251031,0.344579,-0.008328,-0.083035,-0.002481,-5.646923,-0.022999,0.230769,-2.106154,0.069307,6.000000,0.000000,0.000000,0.133000,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,0.000000,0.000532,0.000594,0.000164,0.000502,-0.007984,-0.001404,0.003550,-0.000691,0.007180,-0.002442,-0.001365,-0.000406,0.000543,-0.000496,-0.006450,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.003333,-0.009238,-0.000321,-0.001817,-0.000490,-0.001452,0.002358,-0.002888,0.000007,0.000107,0.001256,0.005098,0.000828,-0.015353,0.016375,-0.000667,-0.008116,-0.006147,-0.004977,-0.000254,0.007267,-0.000013,-0.000705,0.001175,0.002179,-0.000055,-0.004263,0.000412,-0.002206,-0.000454,0.002433,-0.006989,-0.002255,0.563787,true,0.000000,2.197225,27.400411,1999-04-08,23.835294,0.034416,0.000000,17,1,2020,10.411765,0.000000,0.000000,false,0.000000,-0.019691,-0.037530,13.000000,15.453846,0.089597,DAL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.210526,0.000000,1.307692,0.163462,-2.657664,2026,0.728571,0.082500,0.897500,0.901196,1.823860,0.000000,0.000000,0.000000,-0.211309,6.000000
6,Bijan Robinson,RB,ATL,00-0038542,1.600000,1,2,0.693147,2,0.693147,0.087011,0.693147,0.005405,0.693147,5.393449,110.422500,2,-5,6,-5,0,-1.414100,1.999679,-1.414100,-0.000000,0.000000,0.000000,-0.046139,0.000000,1.000000,2.079442,0.271287,0.335430,0.211630,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1317.820000,-0.468836,0.610023,0.514257,0.000000,0.018868,1.000000,0.000000,0.000000,0.000000,0.335430,0.197605,0.021047,0.002662,0.087103,0.046667,2.178235,-0.004304,0.529412,1.711765,0.000000,0.000000,0.000000,0.000000,0.024000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,1.000000,-0.001525,0.000592,-0.002327,0.000502,0.010135,-0.001404,0.002782,-0.000691,0.007180,-0.004503,0.000425,0.000002,-0.000117,-0.004606,0.010326,-0.000920,-0.000085,0.000792,0.003611,-0.001733,-0.001283,0.004403,-0.004605,0.005169,0.000317,-0.001896,0.002358,-0.002888,0.000007,0.000220,-0.002867,0.003059,-0.000344,0.004450,-0.015830,0.004501,0.001783,-0.001840,-0.033258,0.000129,0.013297,0.000047,-0.000705,0.001175,-0.000510,-0.000055,0.012277,0.000412,-0.002206,-0.000454,-0.004409,0.009665,0.004213,9.098105,true,0.000000,4.615121,24.585900,2002-01-30,21.811765,0.005524,0.000000,8,1,2023,0.000000,0.000000,0.000000,false,0.000000,-0.020710,-0.005416,17.000000,21.811765,0.177994,ATL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.458333,1.823529,0.203125,-0.572384,2026,0.781765,0.065000,0.902500,0.179671,-0.513529,0.000000,0.000000,0.000000,0.087011,3.000000
7,Jahmyr Gibbs,RB,DET,00-0039139,1.700000,2,4,1.386294,4,1.386294,0.154151,0.693147,0.010811,0.693147,5.400723,110.422500,1,-5,7,-5,0,-1.548255,2.397092,-1.548255,-0.000000,0.000000,0.000000,0.070226,0.000000,1.000000,2.484907,0.145455,0.377828,0.268182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1691.480000,1.468330,0.627084,0.554435,0.000000,0.006787,1.000000,0.000000,0.000000,0.000000,0.377828,0.161535,0.014295,0.002347,-0.001131,0.061593,4.489412,0.020903,0.411765,0.705882,0.039216,0.000000,0.000000,0.000000,0.020000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,1.000000,-0.001623,0.000572,-0.002563,0.000502,0.010135,-0.001404,-0.004235,-0.000691,0.007180,-0.003394,0.000828,-0.000252,-0.000212,-0.006508,0.010326,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.003358,-0.009310,-0.002026,-0.000231,0.000317,-0.002100,0.002358,-0.002888,0.000007,0.000220,-0.003388,0.001681,-0.000368,0.003884,0.000871,0.006071,0.004707,0.003967,-0.022117,0.000028,0.009885,0.000047,-0.000705,0.001175,-0.000608,-0.000055,0.012277,0.000412,-0.002206,-0.000454,-0.004409,0.009665,0.004039,8.868693,true,0.000000,4.615121,24.451745,2002-03-20,21.582353,-0.002782,0.000000,12,1,2023,0.000000,0.000000,0.000000,false,0.000000,-0.002579,0.011535,17.000000,21.582353,0.294358,DET,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.370370,2.176471,0.166667,5.764179,2026,0.670000,0.135000,0.785000,0.491574,2.230588,0.000000,0.000000,0.000000,0.154151,3.000000
8,Jonathan Taylor,RB,IND,00-0036223,7.600000,8,10,2.302585,10,2.302585,0.105361,0.223144,0.010811,0.223144,5.375879,110.422500,3,0,9,-1,1,1.616701,2.613722,1.616701,0.000000,0.000000,0.000000,0.107085,0.000000,1.000000,3.713572,0.254864,0.058824,0.000000,0.126665,0.000000,0.000000,0.000000,0.000000,0.000000,1488.400000,0.415502,0.600847,0.537657,0.003891,0.061086,1.000000,0.000000,0.000000,0.000000,0.058824,0.109786,-0.011778,-0.000050,0.006094,0.058138,5.244118,0.020401,0.411765,3.690336,0.168317,3.000000,0.000000,0.000000,0.062000,1.000000,0.000000,0.000000,1.000000,0.000000,4.000000,0.000000,0.000690,0.000561,0.003012,0.000502,0.010135,-0.001404,-0.006457,-0.000691,0.007180,-0.000036,0.000535,-0.000031,0.000507,0.002515,-0.006195,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.000836,-0.001857,-0.005993,0.002024,0.000309,-0.001183,0.002358,-0.002888,0.000007,0.000220,0.000533,-0.000294,-0.000463,-0.000436,-0.000496,0.005708,0.005662,0.003852,-0.022117,0.000328,-0.001347,0.000017,-0.000705,0.001175,0.000428,0.002577,-0.004263,-0.000208,0.003513,-0.000454,0.009275,-0.006989,0.003891,8.673507,true,0.000000,4.615121,27.616701,1999-01-19,21.947059,-0.015208,0.000000,41,2,2020,0.000000,0.000000,0.000000,false,0.000000,-0.017145,-0.020534,17.000000,21.311765,0.331217,IND,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,2.647059,0.060241,3.884623,2026,0.825882,-0.040000,0.935000,0.072405,-0.025294,0.000000,0.000000,0.000000,0.105361,6.000000
9,Christian McCaffrey,RB,SF,00-0033280,5.100000,5,8,2.079442,8,2.079442,0.182322,0.470004,0.016216,0.470004,5.364885,100.555833,4,-4,8,-3,-1,4.234086,17.927486,4.234086,0.000000,0.000000,0.000000,0.020707,0.000000,1.000000,2.079442,0.298893,0.195426,0.000000,0.153662,1.000000,7.887071,0.000000,0.000000,0.000000,1560.220000,0.787839,0.653626,0.529814,0.051661,0.004158,1.000000,0.000000,0.000000,0.000000,0.195426,0.233536,0.079374,-0.006269,-0.112787,-0.017579,0.767647,0.006127,0.705882,12.555882,0.248322,15.000000,4.000000,1.000000,0.074000,1.000000,0.000000,1.000000,0.000000,0.000000,5.000000,0.000000,0.002604,-0.000230,0.007622,0.000502,0.010135,-0.001404,-0.001249,-0.000691,0.007180,-0.004503,0.000997,0.000058,0.000199,0.002515,-0.009717,0.005695,0.014818,0.000792,-0.000773,-0.001733,0.001727,-0.004493,0.001988,0.003078,0.000210,-0.002144,0.002358,-0.002888,0.000007,0.000220,-0.001146,0.004430,-0.000133,-0.011643,0.022006,-0.002254,-0.000001,0.000563,-0.049969,0.001219,-0.008307,-0.000104,0.003239,-0.015322,0.000724,0.002577,-0.004263,0.000412,-0.002206,-0.000454,0.012696,-0.006989,0.006254,11.792222,true,0.000000,4.615121,30.234086,1996-06-07,30.133333,-0.023672,0.000000,8,1,2017,0.000000,0.000000,0.000000,false,0.000000,-0.022154,0.004290,17.000000,24.505882,0.244839,SF,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.769231,3.647059,0.277778,-3.682004,2026,0.831176,0.015000,0.920000,-0.074170,0.085000,0.000000,0.000000,0.000000,0.182322,9.000000
10,Amon-Ra St. Brown,WR,DET,00-0036963,7.200000,7,6,1.791759,6,1.791759,-0.060625,-0.154151,-0.005405,-0.154151,5.495969,97.810417,6,-3,4,3,-6,0.855578,0.732014,0.000000,0.000000,0.000000,0.000000,0.055237,0.000000,1.000000,4.718499,0.145455,0.377828,0.072621,0.135119,0.000000,0.000000,0.000000,0.000000,0.000000,1691.480000,1.468330,0.627084,0.554435,0.241818,0.015837,1.000000,0.000000,0.000000,0.145455,0.000000,0.316640,0.394062,0.002315,0.093315,-0.006479,-1.947059,0.014434,0.411765,0.460000,0.035294,4.000000,0.000000,1.000000,0.117000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000134,0.000658,0.000164,0.000502,0.010135,-0.001404,-0.003331,-0.000691,0.007180,0.002712,-0.000461,-0.000252,-0.000212,0.000072,-0.007298,-0.000920,-0.000085,0.000792,-0.000773,-0.001733,0.003358,-0.009310,-0.002026,-0.000231,-0.000185,-0.001947,0.002358,-0.002888,0.000007,-0.000018,0.001256,0.007603,0.001007,0.003826,-0.017006,-0.001087,-0.003436,0.002477,-0.022117,0.000004,0.010226,0.000007,-0.000705,-0.015322,0.001785,-0.000055,-0.004263,-0.000208,-0.002206,-0.000454,0.002433,-0.006989,0.000404,4.071833,true,0.000000,3.806662,26.855578,1999-10-24,20.681250,-0.002782,0.000000,112,4,2021,2.647059,0.000000,0.000000,false,0.000000,-0.002579,0.011535,17.000000,19.058824,0.203704,DET,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366667,0.000000,2.058824,0.388889,-0.582656,2026,0.852353,0.040000,0.965000,-0.393614,-2.940846,0.000000,0.000000,0.000000,-0.060625,5.000000
