our_rank,player,position,team,adp,adp_rank,delta,score
1,De'Von Achane,RB,MIA,9.6,9,8,229.3677
2,Christian McCaffrey,RB,SF,5.1,5,3,216.3792
3,Jaxon Smith-Njigba,WR,SEA,6.0,6,3,198.8824
4,Bijan Robinson,RB,ATL,1.6,1,-3,188.6712
5,Puka Nacua,WR,LAR,2.8,3,-2,187.9151
6,Jahmyr Gibbs,RB,DET,1.7,2,-4,171.3887
7,Ja'Marr Chase,WR,CIN,3.8,4,-3,166.8189
8,Ashton Jeanty,RB,LV,12.0,12,4,155.0992
9,Justin Jefferson,WR,MIN,10.4,10,1,153.5368
10,Trey McBride,TE,ARI,28.9,32,22,148.8626
11,Amon-Ra St. Brown,WR,DET,7.2,7,-4,143.2506
12,Jonathan Taylor,RB,IND,7.6,8,-4,139.8004
13,CeeDee Lamb,WR,DAL,10.7,11,-2,134.0651
14,Brock Bowers,TE,LV,35.9,37,23,133.6765
15,Josh Allen,QB,BUF,28.1,29,14,130.7233
16,Chase Brown,RB,CIN,16.4,16,0,127.1567
17,A.J. Brown,WR,NE,13.5,15,-2,125.3176
18,Lamar Jackson,QB,BAL,55.6,56,38,120.7604
19,Drake London,WR,ATL,12.9,13,-6,116.8322
20,James Cook III,RB,BUF,13.5,14,-6,116.1446
21,George Pickens,WR,DAL,18.4,19,-2,110.2922
22,Derrick Henry,RB,BAL,16.4,17,-5,108.4492
23,Tyler Warren,TE,IND,54.2,54,31,106.0107
24,Zay Flowers,WR,BAL,25.3,25,1,104.9139
25,Saquon Barkley,RB,PHI,19.9,20,-5,102.8867
26,Dak Prescott,QB,DAL,59.3,60,34,100.6371
27,Chris Olave,WR,NO,20.6,21,-6,100.5722
28,Kenneth Walker III,RB,KC,22.5,22,-6,96.7779
29,Nico Collins,WR,HOU,23.4,24,-5,96.2468
30,Tee Higgins,WR,CIN,27.1,26,-4,92.3239
31,Omarion Hampton,RB,LAC,17.1,18,-13,91.5958
32,Rashee Rice,WR,KC,27.4,27,-5,87.3331
33,Colston Loveland,TE,CHI,47.3,48,15,87.0315
34,Jeremiyah Love,RB,ARI,22.6,23,-11,85.9921
35,Drake Maye,QB,NE,63.3,65,30,84.5975
36,DeVonta Smith,WR,PHI,28.2,30,-6,82.1851
37,Breece Hall,RB,NYJ,30.1,33,-4,81.3817
38,Josh Jacobs,RB,GB,28.4,31,-7,76.3046
39,Tetairoa McMillan,WR,CAR,33.0,35,-4,76.1922
40,Harold Fannin Jr.,TE,CLE,69.1,69,29,73.4024
41,Ladd McConkey,WR,LAC,36.5,39,-2,71.4231
42,Joe Burrow,QB,CIN,47.6,49,7,70.5971
43,Kyren Williams,RB,LAR,32.8,34,-9,70.5808
44,Garrett Wilson,WR,NYJ,27.4,28,-16,66.9143
45,Javonte Williams,RB,DAL,35.8,36,-9,65.2333
46,Terry McLaurin,WR,WAS,36.4,38,-8,63.4676
47,Tucker Kraft,TE,GB,73.0,76,29,62.9149
48,Travis Etienne Jr.,RB,NO,39.5,41,-7,60.1229
49,Emeka Egbuka,WR,TB,45.2,45,-4,59.9922
50,Justin Herbert,QB,LAC,79.8,82,32,58.9004
51,Jaylen Waddle,WR,DEN,41.1,43,-8,56.6014
52,Cam Skattebo,RB,NYG,37.4,40,-12,55.34
53,Luther Burden III,WR,CHI,46.1,46,-7,52.6385
54,Kyle Pitts Sr.,TE,ATL,84.4,87,33,52.3711
55,Patrick Mahomes,QB,KC,75.3,78,23,50.3625
56,D'Andre Swift,RB,CHI,47.7,50,-6,49.9646
57,Davante Adams,WR,LAR,40.6,42,-15,48.3351
58,Jameson Williams,WR,DET,48.7,51,-7,44.0826
59,Quinshon Judkins,RB,CLE,49.2,52,-7,43.9396
60,Trevor Lawrence,QB,JAX,85.3,89,29,42.0458
61,Sam LaPorta,TE,DET,72.9,74,13,40.9461
62,DK Metcalf,WR,PIT,56.8,58,-4,39.4226
63,Bucky Irving,RB,TB,46.2,47,-16,38.6917
64,Christian Watson,WR,GB,60.5,63,-1,35.3156
65,TreVeyon Henderson,RB,NE,57.8,59,-6,33.7688
66,Jalen Hurts,QB,PHI,93.7,97,31,32.5804
67,Malik Nabers,WR,NYG,43.5,44,-23,31.5697
68,Travis Kelce,TE,KC,95.7,98,30,30.739
69,David Montgomery,RB,HOU,56.1,57,-12,30.0983
70,Alec Pierce,WR,IND,59.7,61,-9,29.076
71,Rome Odunze,WR,CHI,54.2,55,-16,25.8131
72,Bhayshul Tuten,RB,JAX,60.4,62,-10,24.97
73,Jared Goff,QB,DET,93.2,95,22,22.3346
74,Carnell Tate,WR,TEN,62.1,64,-10,22.3239
75,George Kittle,TE,SF,107.0,111,36,21.8392
76,Jaylen Warren,RB,PIT,65.1,68,-8,19.7513
77,Mike Evans,WR,SF,49.3,53,-24,18.1306
78,Tony Pollard,RB,TEN,72.3,73,-5,14.5508
79,Michael Pittman Jr.,WR,PIT,70.7,70,-9,13.9747
80,Jake Ferguson,TE,DAL,117.7,116,36,11.4911
81,Jayden Daniels,QB,WAS,85.5,90,9,11.0125
82,DJ Moore,WR,BUF,64.9,67,-15,10.256
83,Rhamondre Stevenson,RB,NE,70.9,71,-12,9.5625
84,Marvin Harrison Jr.,WR,ARI,64.7,66,-18,6.1222
85,Chuba Hubbard,RB,CAR,79.1,81,-4,4.7062
86,Courtland Sutton,WR,DEN,72.1,72,-14,3.4319
87,Parker Washington,WR,JAX,73.5,77,-10,0.0
88,Rico Dowdle,RB,PIT,78.6,79,-9,0.0
89,Brock Purdy,QB,SF,101.3,105,16,0.0
90,Dallas Goedert,TE,PHI,128.5,124,34,0.0
91,Jordyn Tyson,WR,NO,83.7,84,-7,-3.8574
