season,metric,value
2018,spearman,0.3690595929442092
2018,ndcg100,0.8204560657949113
2018,top24_hit,0.4583333333333333
2018,top50_hit,0.6
2018,spearman_vorp,0.46256709230945603
2018,ndcg100_vorp,0.9089428436623286
2018,top24_hit_vorp,0.625
2018,spearman_QB,0.25112781954887214
2018,spearman_RB,0.3961577313037252
2018,spearman_WR,0.6216338637990257
2018,spearman_TE,0.2764705882352941
2018,pool_n,149.0
2019,spearman,0.3488666323841743
2019,ndcg100,0.7929917537725529
2019,top24_hit,0.2916666666666667
2019,top50_hit,0.6
2019,spearman_vorp,0.48511958209488487
2019,ndcg100_vorp,0.89495021466201
2019,top24_hit_vorp,0.4583333333333333
2019,spearman_QB,0.13506493506493505
2019,spearman_RB,0.7139249639249641
2019,spearman_WR,0.40731138190303345
2019,spearman_TE,0.5294117647058824
2019,pool_n,149.0
2020,spearman,0.35022721131505563
2020,ndcg100,0.7513753044801422
2020,top24_hit,0.25
2020,top50_hit,0.58
2020,spearman_vorp,0.5124633868190156
2020,ndcg100_vorp,0.8328085785124626
2020,top24_hit_vorp,0.4583333333333333
2020,spearman_QB,0.42105263157894735
2020,spearman_RB,0.5469338788963823
2020,spearman_WR,0.47600590646368174
2020,spearman_TE,0.07149243247970777
2020,pool_n,150.0
2021,spearman,0.4112712692332032
2021,ndcg100,0.8021825056964886
2021,top24_hit,0.25
2021,top50_hit,0.58
2021,spearman_vorp,0.5216304534406042
2021,ndcg100_vorp,0.890175647382382
2021,top24_hit_vorp,0.4166666666666667
2021,spearman_QB,0.7368421052631579
2021,spearman_RB,0.5844155844155846
2021,spearman_WR,0.42115721800116895
2021,spearman_TE,0.4110814867583197
2021,pool_n,149.0
2022,spearman,0.44992260054498706
2022,ndcg100,0.8515607557476677
2022,top24_hit,0.4583333333333333
2022,top50_hit,0.58
2022,spearman_vorp,0.5680958206265257
2022,ndcg100_vorp,0.9286895908387549
2022,top24_hit_vorp,0.5833333333333334
2022,spearman_QB,0.4586466165413533
2022,spearman_RB,0.5212868892114174
2022,spearman_WR,0.586086759325706
2022,spearman_TE,0.37499999999999994
2022,pool_n,145.0
2023,spearman,0.47383404816259594
2023,ndcg100,0.832064258330618
2023,top24_hit,0.375
2023,top50_hit,0.6
2023,spearman_vorp,0.549188728380363
2023,ndcg100_vorp,0.9017389073759947
2023,top24_hit_vorp,0.4583333333333333
2023,spearman_QB,0.4421052631578948
2023,spearman_RB,0.45470844360966445
2023,spearman_WR,0.6495177658583264
2023,spearman_TE,0.32647058823529407
2023,pool_n,149.0
2024,spearman,0.36158516953559494
2024,ndcg100,0.7897706623417873
2024,top24_hit,0.4166666666666667
2024,top50_hit,0.54
2024,spearman_vorp,0.46558642034051084
2024,ndcg100_vorp,0.833425107730915
2024,top24_hit_vorp,0.5
2024,spearman_QB,0.45324675324675323
2024,spearman_RB,0.5832930172552813
2024,spearman_WR,0.3746109674708401
2024,spearman_TE,0.3058823529411765
2024,pool_n,149.0
2025,spearman,0.3631471293366734
2025,ndcg100,0.812571132753949
2025,top24_hit,0.375
2025,top50_hit,0.52
2025,spearman_vorp,0.47104107073469675
2025,ndcg100_vorp,0.877024722904329
2025,top24_hit_vorp,0.5416666666666666
2025,spearman_QB,-0.06493506493506493
2025,spearman_RB,0.6511332099907492
2025,spearman_WR,0.42518315018315017
2025,spearman_TE,0.11042311661506708
2025,pool_n,150.0
MEAN,spearman,0.3909892066820617
MEAN,ndcg100,0.8066215548647647
MEAN,top24_hit,0.35937499999999994
MEAN,top50_hit,0.575
MEAN,spearman_vorp,0.5044615693432571
MEAN,ndcg100_vorp,0.8834694516336471
MEAN,top24_hit_vorp,0.5052083333333334
MEAN,spearman_QB,0.3541438824333561
MEAN,spearman_RB,0.556481714825971
MEAN,spearman_WR,0.49518837662561654
MEAN,spearman_TE,0.3007790412463427
MEAN_ECR_ERA,spearman,0.3909892066820617
MEAN_ECR_ERA,ndcg100,0.8066215548647647
MEAN_ECR_ERA,top24_hit,0.35937499999999994
MEAN_ECR_ERA,top50_hit,0.575
MEAN_ECR_ERA,spearman_vorp,0.5044615693432571
MEAN_ECR_ERA,ndcg100_vorp,0.8834694516336471
MEAN_ECR_ERA,top24_hit_vorp,0.5052083333333334
MEAN_ECR_ERA,spearman_QB,0.3541438824333561
MEAN_ECR_ERA,spearman_RB,0.556481714825971
MEAN_ECR_ERA,spearman_WR,0.49518837662561654
MEAN_ECR_ERA,spearman_TE,0.3007790412463427
