season,metric,value
2018,spearman,0.34975607588396074
2018,ndcg100,0.8139662175152307
2018,top24_hit,0.4166666666666667
2018,top50_hit,0.6
2018,spearman_vorp,0.42541624874414496
2018,ndcg100_vorp,0.9039880806700976
2018,top24_hit_vorp,0.5833333333333334
2018,spearman_QB,0.13684210526315788
2018,spearman_RB,0.38167298792881754
2018,spearman_WR,0.6205233858550446
2018,spearman_TE,0.3205882352941176
2018,pool_n,149.0
2019,spearman,0.36778556846157734
2019,ndcg100,0.7972951428262041
2019,top24_hit,0.3333333333333333
2019,top50_hit,0.64
2019,spearman_vorp,0.5104399641055581
2019,ndcg100_vorp,0.8978540059548062
2019,top24_hit_vorp,0.4583333333333333
2019,spearman_QB,0.14805194805194805
2019,spearman_RB,0.738816738816739
2019,spearman_WR,0.444062743064558
2019,spearman_TE,0.5441176470588236
2019,pool_n,149.0
2020,spearman,0.3577351405987534
2020,ndcg100,0.7713624994416912
2020,top24_hit,0.25
2020,top50_hit,0.58
2020,spearman_vorp,0.5384275536398512
2020,ndcg100_vorp,0.8544248577578527
2020,top24_hit_vorp,0.4166666666666667
2020,spearman_QB,0.4298245614035088
2020,spearman_RB,0.5532399219320268
2020,spearman_WR,0.469730528092311
2020,spearman_TE,-0.03395890542786119
2020,pool_n,150.0
2021,spearman,0.41968599418589103
2021,ndcg100,0.7990193836297811
2021,top24_hit,0.2916666666666667
2021,top50_hit,0.6
2021,spearman_vorp,0.522693406181887
2021,ndcg100_vorp,0.887670329681146
2021,top24_hit_vorp,0.4583333333333333
2021,spearman_QB,0.7774436090225564
2021,spearman_RB,0.5436507936507938
2021,spearman_WR,0.44763296317942736
2021,spearman_TE,0.3574621623985389
2021,pool_n,149.0
2022,spearman,0.46251907923878705
2022,ndcg100,0.8535600622493072
2022,top24_hit,0.375
2022,top50_hit,0.6
2022,spearman_vorp,0.5827964206378188
2022,ndcg100_vorp,0.9305107994277364
2022,top24_hit_vorp,0.5
2022,spearman_QB,0.4872180451127819
2022,spearman_RB,0.5381390098371229
2022,spearman_WR,0.5955178169989963
2022,spearman_TE,0.4642857142857142
2022,pool_n,145.0
2023,spearman,0.5083652504061545
2023,ndcg100,0.8607406599734106
2023,top24_hit,0.4166666666666667
2023,top50_hit,0.56
2023,spearman_vorp,0.5929602118891786
2023,ndcg100_vorp,0.922475746622526
2023,top24_hit_vorp,0.5
2023,spearman_QB,0.3719298245614035
2023,spearman_RB,0.5064458294203021
2023,spearman_WR,0.6880461333131878
2023,spearman_TE,0.3294117647058824
2023,pool_n,149.0
2024,spearman,0.393890775855564
2024,ndcg100,0.8160499866979548
2024,top24_hit,0.3333333333333333
2024,top50_hit,0.54
2024,spearman_vorp,0.49968619287769317
2024,ndcg100_vorp,0.860083391983346
2024,top24_hit_vorp,0.4166666666666667
2024,spearman_QB,0.43766233766233764
2024,spearman_RB,0.6202225447508466
2024,spearman_WR,0.4221861804392875
2024,spearman_TE,0.36764705882352944
2024,pool_n,149.0
2025,spearman,0.4045651969097869
2025,ndcg100,0.8067211062079513
2025,top24_hit,0.5
2025,top50_hit,0.54
2025,spearman_vorp,0.5168467212286761
2025,ndcg100_vorp,0.8723470902183346
2025,top24_hit_vorp,0.5833333333333334
2025,spearman_QB,0.08311688311688312
2025,spearman_RB,0.7284921369102684
2025,spearman_WR,0.4503714557467199
2025,spearman_TE,0.13725490196078433
2025,pool_n,150.0
MEAN,spearman,0.4080378851925594
MEAN,ndcg100,0.8148393823176915
MEAN,top24_hit,0.36458333333333337
MEAN,top50_hit,0.5825
MEAN,spearman_vorp,0.523658339913101
MEAN,ndcg100_vorp,0.8911692877894806
MEAN,top24_hit_vorp,0.48958333333333337
MEAN,spearman_QB,0.3590111642743221
MEAN,spearman_RB,0.5763349954058646
MEAN,spearman_WR,0.5172589008361915
MEAN,spearman_TE,0.31085107238744114
MEAN_ECR_ERA,spearman,0.4080378851925594
MEAN_ECR_ERA,ndcg100,0.8148393823176915
MEAN_ECR_ERA,top24_hit,0.36458333333333337
MEAN_ECR_ERA,top50_hit,0.5825
MEAN_ECR_ERA,spearman_vorp,0.523658339913101
MEAN_ECR_ERA,ndcg100_vorp,0.8911692877894806
MEAN_ECR_ERA,top24_hit_vorp,0.48958333333333337
MEAN_ECR_ERA,spearman_QB,0.3590111642743221
MEAN_ECR_ERA,spearman_RB,0.5763349954058646
MEAN_ECR_ERA,spearman_WR,0.5172589008361915
MEAN_ECR_ERA,spearman_TE,0.31085107238744114
