season,metric,value
2015,spearman,0.3375122551588454
2015,ndcg100,0.7843873706376517
2015,top24_hit,0.3333333333333333
2015,top50_hit,0.56
2015,spearman_vorp,0.38756271610547927
2015,ndcg100_vorp,0.8399830754253714
2015,top24_hit_vorp,0.3333333333333333
2015,spearman_QB,0.07368421052631578
2015,spearman_RB,0.3639971139971141
2015,spearman_WR,0.4885869490183797
2015,spearman_TE,0.3178571428571428
2015,pool_n,149.0
2016,spearman,0.26714541473908404
2016,ndcg100,0.7903920065079225
2016,top24_hit,0.375
2016,top50_hit,0.48
2016,spearman_vorp,0.34549410525495683
2016,ndcg100_vorp,0.8274280516618638
2016,top24_hit_vorp,0.4166666666666667
2016,spearman_QB,0.18311688311688312
2016,spearman_RB,0.22423802612481858
2016,spearman_WR,0.45319189355938744
2016,spearman_TE,0.22058823529411767
2016,pool_n,149.0
2017,spearman,0.4410351047026986
2017,ndcg100,0.7726911373309828
2017,top24_hit,0.2916666666666667
2017,top50_hit,0.62
2017,spearman_vorp,0.4821168081344221
2017,ndcg100_vorp,0.8453247454920896
2017,top24_hit_vorp,0.3333333333333333
2017,spearman_QB,0.22456140350877193
2017,spearman_RB,0.506782106782107
2017,spearman_WR,0.522311753264796
2017,spearman_TE,0.3852941176470588
2017,pool_n,150.0
2018,spearman,0.4098541897009268
2018,ndcg100,0.8118741332310114
2018,top24_hit,0.4583333333333333
2018,top50_hit,0.64
2018,spearman_vorp,0.4600525854515403
2018,ndcg100_vorp,0.8768305903058022
2018,top24_hit_vorp,0.5833333333333334
2018,spearman_QB,0.2270676691729323
2018,spearman_RB,0.4098801197641641
2018,spearman_WR,0.6021712766755699
2018,spearman_TE,0.3382352941176471
2018,pool_n,149.0
2019,spearman,0.4479978668583983
2019,ndcg100,0.8484576231440887
2019,top24_hit,0.375
2019,top50_hit,0.62
2019,spearman_vorp,0.5516955532201618
2019,ndcg100_vorp,0.9186380858066893
2019,top24_hit_vorp,0.4166666666666667
2019,spearman_QB,0.3038961038961039
2019,spearman_RB,0.7386724386724388
2019,spearman_WR,0.42682136375421315
2019,spearman_TE,0.4970588235294117
2019,pool_n,149.0
2020,spearman,0.4426478118084836
2020,ndcg100,0.8067180014948435
2020,top24_hit,0.375
2020,top50_hit,0.58
2020,spearman_vorp,0.5209540809836146
2020,ndcg100_vorp,0.8389414067822389
2020,top24_hit_vorp,0.4166666666666667
2020,spearman_QB,0.46315789473684205
2020,spearman_RB,0.5685589923308119
2020,spearman_WR,0.48274270971530037
2020,spearman_TE,0.11438789196753243
2020,pool_n,150.0
2021,spearman,0.45333763835969265
2021,ndcg100,0.8208466640573441
2021,top24_hit,0.3333333333333333
2021,top50_hit,0.6
2021,spearman_vorp,0.5205656867867935
2021,ndcg100_vorp,0.8659528429620894
2021,top24_hit_vorp,0.5
2021,spearman_QB,0.6496240601503759
2021,spearman_RB,0.5372294372294374
2021,spearman_WR,0.44541203974284055
2021,spearman_TE,0.39857031107437085
2021,pool_n,149.0
2022,spearman,0.527333866717776
2022,ndcg100,0.846286052638336
2022,top24_hit,0.4583333333333333
