our_rank,player,position,team,adp,adp_rank,delta,score,reason
18,Lamar Jackson,QB,BAL,55.6,56,38,120.7604,"no veteran arrivals competing for his role [context]; no April draft capital spent at his position [context]; QB2 slot priced above ADP (+30 ranks from positional scarcity, +8 from features)"
23,Tyler Warren,TE,IND,54.2,54,31,106.0107,"played a near-full season last year (durability); no veteran arrivals competing for his role [context]; no April draft capital spent at his position [context]; TE3 slot priced above ADP (+21 ranks from positional scarcity, +10 from features)"
26,Dak Prescott,QB,DAL,59.3,60,34,100.6371,"played a near-full season last year (durability); no veteran arrivals competing for his role [context]; no April draft capital spent at his position [context]; QB3 slot priced above ADP (+25 ranks from positional scarcity, +9 from features)"
35,Drake Maye,QB,NE,63.3,65,30,84.5975,"played a near-full season last year (durability); no veteran arrivals competing for his role [context]; outproduced his market rank last season (+6.7 PPR pts/game vs market-implied); QB4 slot priced above ADP (+23 ranks from positional scarcity, +7 from features)"
40,Harold Fannin Jr.,TE,CLE,69.1,69,29,73.4024,"team offensive environment [context]; steady week-to-week, not spike-week dependent [opp]; played a near-full season last year (durability); TE5 slot priced above ADP (+29 ranks from positional scarcity, +0 from features)"
47,Tucker Kraft,TE,GB,73.0,76,29,62.9149,"TD-efficient on real opportunity last season [opp]; outproduced his market rank last season (+7.1 PPR pts/game vs market-implied); team offensive environment [context]; TE6 slot priced above ADP (+22 ranks from positional scarcity, +7 from features)"
50,Justin Herbert,QB,LAC,79.8,82,32,58.9004,"no veteran arrivals competing for his role [context]; no April draft capital spent at his position [context]; played a near-full season last year (durability); QB6 slot priced above ADP (+27 ranks from positional scarcity, +5 from features)"
54,Kyle Pitts Sr.,TE,ATL,84.4,87,33,52.3711,"played a near-full season last year (durability); steady week-to-week, not spike-week dependent [opp]; no April draft capital spent at his position [context]; TE7 slot priced above ADP (+26 ranks from positional scarcity, +7 from features)"
60,Trevor Lawrence,QB,JAX,85.3,89,29,42.0458,"TD-efficient on real opportunity last season [opp]; played a near-full season last year (durability); outproduced his market rank last season (+7.6 PPR pts/game vs market-implied); QB8 slot priced above ADP (+29 ranks from positional scarcity, +0 from features)"
66,Jalen Hurts,QB,PHI,93.7,97,31,32.5804,"TD-efficient on real opportunity last season [opp]; no veteran arrivals competing for his role [context]; outproduced his market rank last season (+6.9 PPR pts/game vs market-implied); QB9 slot priced above ADP (+16 ranks from positional scarcity, +15 from features)"
68,Travis Kelce,TE,KC,95.7,98,30,30.739,"played a near-full season last year (durability); no veteran arrivals competing for his role [context]; no April draft capital spent at his position [context]; TE9 slot priced above ADP (+30 ranks from positional scarcity, +0 from features)"
75,George Kittle,TE,SF,107.0,111,36,21.8392,"TD-efficient on real opportunity last season [opp]; outproduced his market rank last season (+8.3 PPR pts/game vs market-implied); improved expected QB play [context]; TE10 slot priced above ADP (+36 ranks from positional scarcity, +0 from features)"
80,Jake Ferguson,TE,DAL,117.7,116,36,11.4911,"played a near-full season last year (durability); no veteran arrivals competing for his role [context]; no April draft capital spent at his position [context]; TE11 slot priced above ADP (+36 ranks from positional scarcity, +0 from features)"
